location,epi_year,epi_week,last_day_of_epi_week,complete_epi_week,vaccine_dose,vaccinations_epi_week,total_vaccinations,pct_total_population
Peru,2023,16,2023-04-22,1,2,12082,28628570,84.61672148949421
Peru,2023,16,2023-04-22,1,3,22273,22065726,65.21909377260167
Peru,2023,16,2023-04-22,1,4,35343,6858634,20.271886544678118
Peru,2023,16,2023-04-22,1,5,68988,1073121,3.171795894154948
Peru,2023,17,2023-04-29,1,1,24371,30484535,90.10234908106617
Peru,2023,17,2023-04-29,1,2,18297,28646867,84.67080145762021
Peru,2023,17,2023-04-29,1,3,33988,22099714,65.31955122227467
Peru,2023,17,2023-04-29,1,4,50571,6909205,20.42135793715232
Peru,2023,17,2023-04-29,1,5,93871,1166992,3.449247973072627
Peru,2023,18,2023-05-06,1,1,5493,30490028,90.11858459863276
Peru,2023,18,2023-05-06,1,2,4712,28651579,84.68472859375235
Peru,2023,18,2023-05-06,1,3,10355,22110069,65.35015722708118
Peru,2023,18,2023-05-06,1,4,20589,6929794,20.482212310205085
